 ,"Document Name 
(title_location_year published)",Date Published,Resource Type,Organization,Copyright,"Geographical Area -
NATIONAL","Geographical Area -
PROVINCIAL / STATE","Geographical Area -
REGIONAL",Forest Type,BEC Zone,Practice,Value,Technique,Technique 2,Research Forest,BECZone_Subzone_variant,Tree Species,Wildlife Species,Habitat,Equipment,Forest Products,Tenure,Zonation,Stand Development,Disturbance Type,Notes,Is the document uploaded to Google Drive?
Implementing new forest management principles in coastal British Columbia: Case study 4,Implementing Forest Manageming Principles - Case Study 4_Coastal BC_2004,2004,Case study,Forest Engineering Research Institute of Canada (FERIC),,Canada,"British Columbia

North Island BC","Vancouver Island

Woss",Coastal forests,"CWH
Coastal western hemlock","Harvest

Adaptive management","Old growth stand structure

Economic

Ecosystem health

","Variable retention

Retention system

Monitoring",,,CWH_vm_2,"Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Ba
Amabilis fir
Abies amabilis

Yc
Yellow cedar
Chamaecyparis nootkatensis

Hm
Mountain hemlock
Tsuga mertensiana",,,"Loading equipment

Cable equipment

Swing yarder",,Tree farm license (area based),,Site productivity,,,
Climate Change Adaptation: Potential Contributions of Red Alder in Coastal British Columbia,Climate Change Adaptation - Contributions of Dr_Coastal BC_2012,2012,Technical report,BC Ministry of Forests,,Canada,"British Columbia 

North Island BC","Vancouver Island

Campbell River",Coastal forests,"CWH
Coastal western hemlock",Harvest,"Climate change resilience

Timber

Economic

Carbon

Ecosystem health",Planting,,,"CWH_vm, 1

CWH_xm_1,2

CWH_dm_1","Dr
Red alder
Alnus rubra",,,,,"Tree farm license (area based)

",,"Growth

Genetic worth",,,
Seeking Alternatives to Clearcutting in British Columbia: The role of large-scale experiments for sustainable forestry,Alternatives to CC - Role of Large Scale Experiments_BC_2005,2005,Peer-reviewed literature,"BC Ministry of Forests

Canadian Forest Service",,Canada,British Columbia,,"Coastal forests

Boreal forests

Sub-boreal forests

Dry interiior forests

Montane and subalpine forests

Wet interior forests","SBS
Sub-boreal spruce

MS
Montane spruce

ESSF
Engelmann spruce subalpine fir 

IDF 
Interior douglas fir

ICH
Interior cedar hemlock

CWH
Coastal western hemlock

ESSF
Engelmann spruce subalpine fir 

SBPS
Sub-boreal pine-spruce 

BWBS
Boreal white and black spruce 



","Adaptive management

Harvest","Ecosystem health

Timber

Climate change resilience

Economic","Variable retention

Regeneration cut

Patch cutting

Thinning

Commercial thinning

Retention system",,,,"Sw
White spruce
Picea glauca

Sb
Black spruce
Picea mariana

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) &
Picea glauca x sitchensis (coastal)

Hm
Mountain hemlock
Tsuga mertensiana

Se
Engelmann spruce
Picea engelmannii

Py
Ponderosa pine
Pinus ponderosa

Fd
Douglas fir
Pseudotsuga menziesii

Hw
Western hemlock
Tsuga heterophylla",Small mammals,,,,,,"Growth

Site productivity","Windthrow

Bark beetle

Dwarf mistletoe

Root rot",,
Silviculture and Best Management Practices for the Dry-Belt Douglas Fir Area in the Cariboo Forest Region,Silv and BMP for Dry Belt Fd_Cariboo_2024,2024,Decision Aid (best management practices),BC Ministry of Forests,,Canada,"British Columbia

Central Interior BC",Cariboo,Dry interior forests,"IDF
Interior douglas fir","Harvest

Waste/biomass/fuel management

Restoration","Forest health

Wildfire risk

Climate change resilience

Ecosystem health

Timber

Old growth stand structure

Cultural plants","Prescribed fire

Cultural fire

Thinning

Commercial thinning

Pre-commercial thinning

Regeneration cut

Removal cut

Retention system

Salvage

Fuel management

Variable retention

Monitoring",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

At
Trembling aspen
Populus tremuloides

Sx
Hybrid spruce
Picea engelmannii x glauca

EP
Paper birch
Betula papyrifera

Py
Ponderosa pine
Pinus ponderosa

Act
Black cottonwood
Populus trichocarpa",,"Riparian habitat

Grassland habitat",,,,,"Competition

Structure

Stand age

Natural disturbances","Fire

Mountain pine beetle

Western spruce budworm

Douglas fir tussock moth

Western pine beetle

Root rot

Terminal weevil",,
Performance of Planted Engelmann Spruce and Subalpine Fir Seedlings in British Columbia's Southern Mountains,Performance of Planted Se and Bl Seedlings_BC Southern Mountains_2006,2006,Peer-reviewed literature,"BC Ministry of Forest

University of British Columbia

University of Northern Britsh Columbia",,Canada,"British Columbia

Central Interior BC

Southern Interior BC","Robson Valley - McBride

Shuswap
Shuswap - Sicamous

Cariboo Plateau - Quesnel Highland",Montane and subalpine forests,"ESSF
Engelmann spruce subalpine fir ",,Old growth stand structure,"Regeneration cut

Variable retention

Planting

",,,"ESSF_mm

ESSF_wc_2,3

","Se
Engelmann spruce
Picea engelmannii

Bl
Subalpine fir
Abies lasiocarpa",,,,,,,"Growth

Structure

Comeptition",Western spruce budworm,,
"Evaluating the Effects of Partial Cutting on Wildlife,Trees, and Coarse Woody Debris",Effects of VR on Wildlife - Trees - Coarse Woody Debris_Interior BC_2002,2002,Peer-reviewed literature,University of Northern British Columbia,,Canada,"British Columbia

Central Interior BC",Cariboo - Prince George,Montane and subalpine forests,"ESSF
Engelmann spruce subalpine fir ","Harvest

Site preparation

Intervention","Ecosystem health

Forest health","Variable retention

Retention system",,,,"Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Se
Engelmann spruce
Picea engelmannii

Bl
Subalpine fir
Abies lasiocarpa",Caribou,,,,,,Natural disturbances,"Fire

Windthrow

Western spruce budworm",,
"Harvesting Productivity and Cost of Clearcut and Partial Cut in Interior British Columbia, Canada",Harvesting Productivity and Cost of CC and VR_Interior BC_2008,2008,Peer-reviewed literature,University of Northern British Columbia,,Canada,"British Columbia

Central Interior ","Robson Valley - McBride

",Wet interior forests,"ICH
Interior cedar hemlock",Harvest,"Economic

Timber","Variable retention

Models

Retention system",,,,"Cw
Western redcedar 
Thuja plicata

Se
Engelmann spruce
Picea engelmannii

Hw
Western hemlock
Tsuga heterophylla

Bl
Subalpine fir
Abies lasiocarpa",,,"Mechanical falling equipment

Cable equipment

Loading equipment",,,,Site productivity,,,
Cost and productivity of alternative harvesting in BC's interior wet belt designed to maintain caroboo habitat,Cost and Productivity of Alt Harvesting_Interior BC_2010,2010,Peer-reviewed literature,Forest Engineering Research Institute of Canada (FERIC), ,Canada,"British Columbia

Central Interior BC",Cariboo - Horsefly,"Wet interior forests

Montane and subalpine forests","ICH
Interior cedar hemlock

ESSF
Engelmann spruce subalpine fir ","Harvest

Site preparation","Economic

Old growth stand structure

Timber

Ecosystem health

Wildlife","Variable retention

Retention system",,,"ICH_wk_2

ESSF_wk_1","Cw
Western redcedar 
Thuja plicata

Hw
Western hemlock
Tsuga heterophylla

Fd
Douglas fir
Pseudotsuga menziesii

Bl
Subalpine fir
Abies lasiocarpa",Caribou,,"Mechanical falling equipment

Loading equipment",,,,Silvics,Windthrow,,
Stand dynamics after partial cutting in dry Douglas-fir forests in central British Columbia: Farwell Canyon Research Project,Stand Dynamics After VR in Dry Fd Forests_Central BC_2016 ,2016,Technical report,BC Ministry of Forests,,Canada,"British Columbia

Central Interior BC",Cariboo - Williams Lake,Dry interior forests,"IDF
Interior douglas fir","Harvest

Intervention",Timber,"Thinning
 
Pre-commercial thinning

Prescribed fire

Variable retention",,,IDF_xm,"Fd
Douglas fir
Pseudotsuga menziesii",,,,,Volume-based,"WHA
Wildlife habitat area","Growth

Competition

Natural disturbances

Structure","Fire

Western spruce budworm

Bark beetle",,
"Alternative Silvicultural Systems on Steep-Sloped
Old-Growth Forests on the Queen Charlotte Islands
– Project Overview and Regeneration Development
",Alt Silv Systems on Steep Sloped Old Growth Forests_Queen Charlotte Islands_2000,2000,Case study,BC Ministry of Forests,,Canada,"British Columbia

North Coast BC",Haida Gwaii,Coastal forests,"CWH
Coastal western hemlock","Harvest

Intervention

Adaptive management","Old growth stand structure

Economic

Wildlife","Planting

Variable retention

Monitoring
",,,CWH_vh_2,"Hw
Western hemlock
Tsuga heterophylla

Ss
Sitka spruce
Picea sitchensis

Cw
Western redcedar 
Thuja plicata",Sitka blacktail deer,,,,,,"Structure

Site productivity",Windthrow,,
"Status of British Columbia Long-Term Silvicultural Systems Research Trial 

No link, see mendeley",Status of BC Long Term Silv Systems Research Trial_BC_2012,2012,Case study,Forest Engineering Research Institute of Canada (FERIC),,"Canada

USA","British Columbia

Central Interior BC

South Interior BC

North Coast BC

South Coast BC

North Island BC

Lower Mainland BC

Northern BC

USA","Fort Nelson

Robson Valley - McBride

Cariboo - Prince George

Cariboo - Williams Lake

Okanagan - Kamloops

Kootenays - Golden

Kootenays - Nakusp

Kootenays - Cranbrook 

Kootenays - Nelson

Kootenays - Castlegar

Prince Rupert

Campbell River

Haida Gwaii

Sunshine Coast - Sechelt

Sunshine Coast - Powell River

Vancouver Island

Fraser Canyon

Fraser Canyon - Boston Bar First Nation 

Fort St. James

Fraser Valley - Maple Ridge

Invermere

Shuswap

Shuswap - Revelstoke

Shuswap - Sicamous

Washington",,"ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock

SBS
Sub-boreal spruce 

MS
Montane spruce

IDF
Interior douglas fir

CWH
Coastal western hemlock

MH
Montane hemlock

BWBS
Boreal white and black spruce","Harvest

Adaptive management

Site preparation

Intervention 

Waste/biomass/fuel management

Silvics

Reforestation","Foresty health

Ecosystem health

Wildlife

Timber

Hydrology

Economic

Carbon

Wildfire risk

Climate change resiliency","Variable retention

Regeneration cut

Removal cut

Thinning

Commercial thinning

Pre-commercial thinning

Patch cutting

Retention system

Planting

Fuel management",,"Aleza Lake research forest

John Prince research forest

Alex Fraser research forests

West Arm demonstration forest

Selkirk College Woodlot

Malcom Knapp research forest

","ICH_mc_2

ICH_dw

ICH_mw_1,2,3

ICH_mw_2

ICH_mk_1

ICH_mk_3

IDF_dm_2

IDF_dk_2

IDF_dk_3

IDF_xh_2

IDF_xh

IDF_xm

IDF_ww

BWBS_mw_2

ESSF_mm_1

ESSF_wc_3

ESSF_wc_2

ESSF_dc_2

SBS_dw_1,3

SBS_dk

SBS_mk_1

SBS_wk_1

SBPS_xc

MS_xv

MS_dk

MS_dm

CWH_vh_2

CWH_xm_1,2

CWH_mm_2

CWH_dm

CWH_vm

CWH_vm_1,2

CWH_wh_1

CDF_mm

MH_mm_1","At
Trembling aspen
Populus tremuloides

Sw
White spruce
Picea glauca

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Bl
Subalpine fir
Abies lasiocarpa

Pl
Lodgepole pine
Pinus contorta

Sx
Hybrid spruce
Picea engelmannii x glauca (interior) & 
Picea glauca x sitchensis (coastal)

EP
Paper birch
Betula papyrifera

Act
Black cottonwood
Populus trichocarpa

Se
Engelmann spruce
Picea engelmannii

Fd
Douglas fir
Pseudotsuga menziesii","Caribou

Small mammals

Mule deer

Squirrel

Bats",Riparian habitat,,,,"UWR
Ungulate winter range","Site productivity

Structure

Growth

Natural disturbances

Competition","Windthrow

Root rot

Bark beetle

Fire

Carabid beetle",,
Long-term silviculture experiments contribute to science-based forest management in British Columbia's public forests,Long-term Silv Experiments Contribute to Science-Based Forest Management_BC_2015,2015,Peer-reviewed literature,"Canadian Forest Service

University of British Columbia",,Canada,"British Columbia

South Interior BC","Shuswap

Shuswap - Sicamous

Vancouver Island","Montane and subalpine forests

Subalpine forests

","ESSF
Engelmann spruce subalpine fir ","Harvest

Intervention

Adaptive management","Ecosystem health

Forest health","Variable retention

Regeneration cut

Retention system

Planting

Patch cutting",,,,"Hw
Western hemlock
Tsuga heterophyllaBa

Ba
Amabilis fir
Abies amabilis

Se
Engelmann spruce
Picea engelmannii

Bl
Subalpine fir
Abies lasiocarpa",,,,,,,"Site productivity

Growth

Structure",,,
"Caribou, Fire, and Forestry: A Literature Review",Caribou-Fire-and Forestry_BC_2021,2021,Peer-reviewed literature,"University of Northern British Columbia

fRI Research",,"Canada

",British Columbia,,Boreal forests,"BWBS
Boreal white and black spruce ",Harvest,"Wildfire risk

Wildlife

Ecosystem health",Variable retention,Herbicide,,,,"Caribou

Moose

Deer",,,,,"UWR
Ungulate winter range","Natural disturbances

Structure","Fire

Mountain pine beetle",,
"Site Preparation: Application of Rough 
and Loose Mounding and Furrowing 
(RipPlow) on a Wood Mulched Site",Site Prep - Application of Rough and Loose Mounding and Furrowing on Wood Mulched Site_Alberta_2019,2019,Extension note,Centre for Boreal Research,,Canada,Alberta,Edmonton,Boreal forests,"BWBS
Boreal white and black spruce 

SBS
Sub-boreal spruce 

SBPS
Sub-boreal pine-spruce 

MS
Montane Spruce",Site preparation,"Economic

Ecosystem health","Planting

Waste management","Mulching

Mounding",,,"Sb
Black spruce
Picea mariana

Sw
White spruce
Picea glauca

At
Trembling aspen
Populus tremuloides",,,,,,,Growth,,,
Managing forest carbon and landscape capacities,Managing Forest Carbon and Lanadscape Capacities_BC_2022,2022,Peer-reviewed literature,"Canadian Forest Service

University of British Columbia",,Canada,"British Columbia

",,"Boreal forests

Sub-boreal forests

","BWBS
Boreal white and black spruce

SWB
Spruce willow brich 

SBS
Sub-boreal spruce ",Harvest,"Carbon

Climate change resilience",Models,,,,,,,,,Volume-based,,Natural disturbances,Fire,,
"Future fire risk and the greenhouse gas mitigation potential of forest 
rehabilitation in British Columbia, Canada ",Future Fire Risk and GHG Mitigation Potential_BC_2022,2022,Peer-reviewed literature,Canadian Forest Service,,Canada,"British Columbia

South Interior BC

North Interior",,"Dry interior forests

Wet interior forests

Montane and subalpine forests","IDF 
Interior douglas fir

ICH
Interior cedar hemlock

BWBS
Boreal white and black spruce

SBS
Sub-boreal spruce

SBPS
Sub-boreal pine spruce

","Restoration

Waste/biomass/fuel management

Harvest","Wildfire risk

Carbon

Climate change resilience

Timber","Slavage

Models

Restoration

Fuel management

Planting

Biomass product",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Pl
Lodgepole pine
Pinus contorta

Sw
White spruce
Picea glauca

Cw
Western redcedar 
Thuja plicata

Se
Engelmann spruce
Picea engelmannii

",,,,Pulp,,,"Natural disturbances

Growth","Fire

Drought",,
"The right to burn: barriers and
opportunities for Indigenous-led fire
stewardship in Canada",Right to Burn - Barriers and Opportunities for Indigenous Led Fire Stewardship_BC_2022,2022,"Peer-reviewed literature

Case study","University of British Columbia

Canadian Forest Service

Memorial University",,"Canada

","British Columbia

Saskatchewan",Prince Albert SK,"Coastal forests

Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests

Coastal montane forests","CWH
Coastal western hemlock 

CDF
Coastal douglas fir 

BWBS
Boreal white and black spruce 

SWB
Spruce willow brich 

SBS
Sub-boreal spruce 

SBPS
Sub-boreal pine-spruce 

IDF
Interior douglas fir 

PP
Ponderosa pine 

MS
Montane spruce 

ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock 

MH
Montane hemlock ",Waste/biomass/fuel management,"Wildfire risk

Cultural

Economic","Prescribed fire

Cultural fire

Fuel management

Thinning",,,,,,,,,,,Natural disturbances,Fire,,
A field guide to predict delayed mortility of fire - Damaged ponderosa pine: Application and validation of Malheur model,A Field Guide to Predict Delayed Mortality of Fire - Damaged Py_Western USA_2008,2006,Technical report,United States Department of Agriculture (USDA) Forest Service - Pacific Northwest Research Station,,USA,"Oregon

California",,"Dry interior forests

Montane and subalpine forests","PP
Ponderosa pine

MS
Montane spruce

ESSF
Engelmann Spruce Subalpine fir

IDF
Interior douglas fir",Intervention,"Wildfire risk

Economic","Models

Prescribed fire

Salvage",,,,"Py
Ponderosa pine
Pinus ponderosa",,,,,,,"Natural disturbances

Structure",Fire,,
Stretegic plan for the use of perscribed fire to restore ecosystems in the Okanagan Region,Strategic Plan for Use of Prescribed Fire to Restore Ecosystems_Okanagan_2010,2010,Case study (research report),"B.A Blackwell and Associates Ltd.

R.W. Gray Consulting Ltd.",,Canada,"British Columbia

South Interior BC",Okanagan,"Coastal forests

Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests

Coastal montane forests","IDF
Interior douglas fir 

ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock 

MS
Montane spruce 

PP
Ponderosa pine 

AT
Alpine tundra

CWH
Coastal western hemlock ","Restoration

Waste/biomass/fuel management

","Ecosystem health

Forest health","Prescribed fire

Fuel management

Restoration",,,,All,"Mule deer

Bighorn sheep",,,,Area-based,"WHA
Wildlife habitat area

UWR
Ungulate winter range",Natural disturbances,Fire,,
Douglas fir beetle attack and tree mortality following wildfire,Fd Beetle Attack and Tree Mortality Following Wildfire_USA_2003,2003,Peer-reviewed literature,United States Department of Agriculture (USDA) Forest Service - Roky Mountain Research Station,,USA,Montana,,"Montane and subalpine forests

","MS
Montane spruce

ESSF
Engelmann spruce subalpine fir ","Intervention

Site preparation",Wildfire risk,Prescribed fire,,,,"Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,"Natural disturbances

Structure

Silvics","Douglas fir beetle

Bark beetle

Fire",,
Assessing post-fire douglas fir mortality and douglas fir beetle attacks in the northern rocky mountains,Assessing Post Fire Fd Mortality and Beetle Attacks_USA_2007,2007,Technical report,United States Department of Agriculture (USDA) Forest Service - Roky Mountain Research Station,,USA,"Montana

Wyoming",,"Montane and subalpine forests

","MS
Montane spruce

ESSF
Engelmann spruce subalpine fir ","Intervention

Adaptive management",Wildfire risk,"Prescribed fire

Models

Salvage",,,,"Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,"Natural disturbances

Structure

Silvics","Bark beetle

Fire",,
Retaining old trees when reintroducing fire into long unburned forests that historically burned frequently,Retaining Old Trees when Reintroducing Fire Into Long Unburned Forests_USA_2010,2010,Technical report,United States Department of Agriculture (USDA) Forest Service - Roky Mountain Research Station,,USA,,,"Montane and subalpine forests

Dry interior forests","IDF
Interior douglas fir 

MS
Montane spruce 

PP
Ponderosa pine 

","Waste/biomass/fuel management

Restoration

Adaptive management","Wildfire risk

Old growth stand structure

Ecosystem health","Prescribed fire

Fuel management

Monitoring

Thinning

Pre-commercial thinning

Commercial thinning",,,,"Fd
Douglas fir
Pseudotsuga menziesii

Py
Ponderosa pine
Pinus ponderosa

Lw
Western larch
Larix occidentalis",,,,,,,"Natural disturbances

Growth","Fire

Bark beetle",,
Effectiveness of litter removal to reduce cambial kill- caused mortality in Northern Arizona ponderosa pine,Effectiveness of Litter Removal to Reduce Cambial Kill-Caused Mortality in Py_USA_2009,2009,Peer-reviewed literature,United States Department of Agriculture (USDA) Forest Service - Roky Mountain Research Station,,USA,Arizona,,"Montane and subalpine forests

Dry interior forests","PP
Ponderosa pine ","Site preparation

Waste/biomass/fuel management","Wildifre risk

Old growth stand structure","Prescribed fire

Fuel management",Biochar,,,"Py
Ponderosa pine
Pinus ponderosa",,,,,,,"Natural disturbances

Structure",Fire,,
Maintaining Fire in British Columbia's Ecosystems: an Ecological Perspective,Maintaining Fire in BC Ecosystems_BC_2010,2010,Case study (research report),BC Ministry of Forests,,Canada,British Columbia,,"Coastal forests

Wet interior forests

Montane and subalpine forests

Coastal montane forests

Sub-boreal forests

Boreal forests","CWH
Coastal western hemlock

ICH
Interior Cedar Hemlock 

ESSF
Engelmann spruce subalpine fir

MH
Montane hemlock 

SWB
Spruce willow birch 

SBS
Sub-boreal spruce 

BWBS
Boreal white and black spruce 

MS
Montane spruce ",Waste/biomass/fuel management,"Ecosystem health

Forest health

Old growth stand structure

Wildfire risk

Carbon",Fuel management,,,,,,,,,,"WHA
WIldlife habitat area","Natural disturbances

Site productivity","Fire

Mountain pine beetle",,
"Aspen distribution in North-Central British Columbia: Abundance, trends, and implications for shallow water wetlands","Aspen Distribution - Abundance, Trends, and Implications for Shallow Water Wetlands_North Central BC_2018",2018,Case study (research report),"Chu Cho Environmental

Society for Ecosystem Restoration in Northern British Columbia",,Canada,"British Columbia

Central Interior BC",,"Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests","BWBS
Boreal white and black spruce 

MS
Montane spruce 

SBS
Sub-boreal spruce

SBPS
Sub-boreal pine-spruce 

IDF
Interior douglas fir

ICH
Interior Cedar Hemlock 

PP
Ponderosa pine 

ESSF
Engelmann spruce subalpine fir ","Harvest

Restoration","Climate change resilience

Ecosystem health","Brushing

Variable retention

Retention system","Herbicide

Girdling",,,"At
Trembling aspen
Populus tremuloides

Pl
Lodgepole pine
Pinus contorta

Fd
Douglas fir
Pseudotsuga menziesii",Beaver,Riparian habitat,,,,,"Natural disturbances

Growth","Fire

Drought

Aspen leaf miner

Venturia blight

Stem cankers

Heart and butt rot

Forest tent caterpillar

Satin moth

",,
Ecology and management of interior douglas fir at the northern extreme of its range,Ecology and Management of Interior Fd at Northern Extreme of Range_BC_1996,1996,Case study (research report),University of Northern British Columbia,,"Canada

USA","British Columbia

Central Interior BC

South Interior BC

Oregon

Washington

California","Cariboo - Prince George

Kootenays - Nelson","Dry interior forests

Montane and subalpine forests

Sub-boreal forests","CDF
Coastal douglas fir

IDF
Interior douglas fir

ICH
Interior Cedar Hemlock 

ESSF
Engelmann spruce subalpine fir 

PP
Ponderosa pine 

SBS
Sub-boreal spruce ","Adaptive management

Harvest

Site preparation

Waste/biomass/fuel management","Wildlife

Ecosystem health

Old growth stand structure

Forest health

Timber

Wildfire risk

Variable retention","Planting

Regeneration cut

Remocal cut

Fuel management

Prescribed fire

Pruning

Brushing

Salvage

Thinning

Pre-commercial thinning

Commercial thinning",,Alex Fraser research forest,"IDF_mw_1
IDF_xh_1
IDF_xh_2
IDF_dmi
IDF_dk_4

ICH_dw
ICH_mw_2
ICH_mk_1

ESSF_dk

PP_xhi

SBS_dw_1
SBS_dw_2
SBS_dw_3
SBS_wk_1","Fd
Douglas fir
Pseudotsuga menziesii

Ss
Sitka spruce
Picea sitchensis

Hw
Western hemlock
Tsuga heterophylla

Cw
Western redcedar 
Thuja plicata

Bg
Grand fir
Abies grandis

Bl
Subalpine fir
Abies lasiocarpa

Pl
Lodgepole pine
Pinus contorta

Lw
Western larch
Larix occidentalis

EP
Paper birch
Betula papyrifera","Grizzly bear

Goshawk

Mule deer

Elk

Snowshoe hare

Squirrel",,,,,,"Site productivity

Growth

Structure

Natural disturbances

Silvics","Bark beetle

Fire

Windthrow

Root rot

Frost

Spruce leader wevil

Spruce gall aphid",,
An analysis of techniques for measuring the impacts of broadcast burning,Analysis of Techniques for Measuring Impacts of Broadcast Burning_Smithers_2017,2017,Case study (research report),LM Forest Resource Solution Ltd.,,Canada,"British Columbia

North Coast BC",Skeena,Montane and subalpine forests,"ESSF
Engelmann spruce subalpine fir","Waste/biomass/fuel management

Restoration",Ecosystem health,"Models

Prescribed fire

Fuel management ",,,ESSF_mc,,,,,,,,Silvics,,,
"Climate change, impacts, and adaptation scenarios: Climate change and forest range management in BC",Climate Change - Impacts - Adaptation Scenarios_BC_2008,2008,Technical report,BC Ministry of Forests,,Canada,"British Columbia

Central Interior BC

South Interior BC","Fort Nelson

Cariboo - Prince George

Kootenays - Cranbrook 

Kootenays - Nelson

Okanagan - Kelowna","Coastal forests

Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests

Coastal montane forests","CWH
Coastal western hemlock
 
CDF
Coastal douglas fir 

BWBS
Boreal white and black spruce 

SWB
Spruce willow birch 

SBS
Sub-boreal spruce 

SBPS
Sub-boreal pine-spruce 

IDF
Interior douglas fir 

PP
Ponderosa pine 

MS
Montane spruce 

ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock 

MH
Montane hemlock ",Adaptive management,"Climate change resilience 

Hydrology

Wildfire risk

Timber","Monitoring

Models",,,"CWH_xm_2

SBS_wk_1",,,,,,,,,,,
"Assessing the climatic sensitivity of douglas fir at its northern range margins in British Columbia, Canada",Assessing Climatic Sensitivity of Fd at its Northern Margins_BC_2009,2009,Peer-reviewed literature,"University of Northern British Columbia

BC Ministry of Forests",,Canada,"British Columbia

Central Interior BC","Cariboo - Prince George

Fort St James","Dry interior forests

Sub-boreal forests","IDF
Interior douglas fir","Adaptive management

","Climate change resiliency

Hydrology",Monitoring,,,,"Fd
Douglas fir
Pseudotsuga menziesii",,,,,,,Growth,,,
Perpetuating old ponderosa pine,Perpetuating Old Py_USA_2007,2007,Peer-reviewed literature,"Northern Arizona University

University of Washington",,USA,"Oregon

Arizona

Montana",,"Montane and subalpine forests

Dry interior forests","PP
Ponderosa pine","Restoration

Harvest

Waste/biomass/fuel management

Site preparation

Adaptive management","Old growth stand structure

Wildfire risk","Prescribed fire

Thinning

Pre-commercial thinning

Fuel management 

Variable retention

",,,,"Py
Ponderosa pine
Pinus ponderosa

",,,,,,,"Natural disturbances

Competition

Growth

Silvics","Bark beetle

Fire

Drought

Western pine beetle

Mountain pine beetle

Roundheaded pine beetle",,
"Vulnerability, Resilience and Climate Change: 
Adaptation Potential for Ecosystems and 
Their Management in the West Kootenay –
Summary Report","Vulnerability, Resilience, and Climate Change - Adaptation Potentional for Ecosystems and Management_Kootenay_2012",2012,Case study,BC Future Forest Ecosystems Centre,,Canada,"British Columbia

South Interior BC",Kootenays,"Coastal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests
","CWH
Coastal western hemlock

SBS
Sub-boreal spruce 

SBPS
Sub-boreal pine-spruce 

IDF
Interior douglas fir 

PP
Ponderosa pine 

MS
Montane spruce 

ESSF
Engelmann spruce subalpine fir 

ICH
Interior Cedar Hemlock 

MH
Montane hemlock 
","Adaptive management 

Harvest

Intervention","Climate change resilience

Wildfire risk

Timber

Ecosystem health","Variable retention

Retention system

Fertilizing

Monitoring",,,"ESSF_dmp
ESSF_vc
ESSF_vcw

CWH_mm
CWH_ds

ICH_dw
ICH_mc
ICH_mw
ICH_vk
ICH_xw

SBS_mc
SBS_dw

MS_dk

IDF_ww
IDF_dm",,,,,,"Tree farm license (area-based)

Volume-based

Woodlot (area-based)

Community (area-based)",,"Natural disturbances

Structure

Growth

Silvics","Fire

Western spruce budworm

Windthrow

Drought",,
Increasing Mass Timber Consumption in the U.S. and Sustainable Timber Supply,Increasing Mass Timber Consumption and Sustainable Timber Supply_USA_2021,2021,Peer-reviewed literature,University of Washington,,USA,,,"Coastal forests

Boreal forests

Sub-boreal forests

Dry interior forests

Montane and subalpine forests

Wet interior forests

Coastal montane forests
","CDF
Coastal douglas fir

IDF
Interior douglas fir

ICH
Interior Cedar Hemlock 

CWH
Coastal western hemlock

MH
Montane hemlock

SBS
Sub-boreal spruce

BWBS
Boreal white and black spruce

SBPS
Sub-boreal pine spruce

ESSF
Engelmann spruce subalpine fir

PP
Ponderosa pine","Reforestation

Harvest","Carbon

Timber

Climate change resilience",Planting,,,,,,Riparian habitat,,Veneer,,,"Growth

Natural disturbances","Wildfire

Mountain pine beetle

Western pine beetle

Roundheaded pine beetle",,
"Impact of Partial Cutting on Lichen Diversity in Lodgepole Pine Forests on the Chilcotin Plateau of British Columbia

",Impact of PH on Lichen Diversity in Pl Forests_Chilcotin_2001,2001,Case study (research report),BC Ministry of Forests,,Canada,"British Columbia

Central interior","Chilcotin Plateau

Fraser Plateau","Sub-boreal forests

Montane and subalpine forests","SBPS
Sub-boreal pine spruce

MS
Montane spruce
",Harvest,"Wildlife

Ecosystem health","Regeneration cut

Removal cut

Variable retention

Patch cutting

Waste management ",,,"SBPS_xc

MS_xv","Py
Ponderosa pine
Pinus ponderosa

Se
Engelmann spruce
Picea engelmannii",Caribou,,,,,"UWR 
Ungulate winter range",Silvics,,,
